time,index,action,floors_before,floors_after,landuse_before,landuse_after,condition_before,condition_after,added_floors,demo_flag
1,0,NoChange,2,2,1,1,0.8,0.7905002151044533,0,
2,0,NoChange,2,2,1,1,0.7905002151044533,0.7849644298674298,0,
3,0,NoChange,2,2,1,1,0.7849644298674298,0.788498419615888,0,
4,0,NoChange,2,2,1,1,0.788498419615888,0.7802371962684763,0,
5,0,NoChange,2,2,1,1,0.7802371962684763,0.7708331406572377,0,
6,0,NoChange,2,2,1,1,0.7708331406572377,0.770940246419305,0,
7,0,AddFloors,2,3,1,1,0.770940246419305,0.758100442548529,1,
8,0,NoChange,3,3,1,1,0.758100442548529,0.7570846234742061,0,
9,0,NoChange,3,3,1,1,0.7570846234742061,0.7644706298900648,0,
10,0,NoChange,3,3,1,1,0.7644706298900648,0.7576638162176026,0,
1,1,NoChange,2,2,1,1,0.8,0.7955574268334329,0,
2,1,NoChange,2,2,1,1,0.7955574268334329,0.8008273094135634,0,
3,1,AddFloors,2,3,1,1,0.8008273094135634,0.781794473181898,1,
4,1,NoChange,3,3,1,1,0.781794473181898,0.7879370386473856,0,
5,1,NoChange,3,3,1,1,0.7879370386473856,0.7886616004764796,0,
6,1,NoChange,3,3,1,1,0.7886616004764796,0.7862322880206467,0,
7,1,NoChange,3,3,1,1,0.7862322880206467,0.7928203813057066,0,
8,1,NoChange,3,3,1,1,0.7928203813057066,0.8000545193119222,0,
9,1,NoChange,3,3,1,1,0.8000545193119222,0.8041459560362206,0,
10,1,AddFloors,3,4,1,1,0.8041459560362206,0.7918766394441076,1,
1,2,NoChange,2,2,1,1,0.8,0.8073296733351054,0,
2,2,NoChange,2,2,1,1,0.8073296733351054,0.8063978793824741,0,
3,2,NoChange,2,2,1,1,0.8063978793824741,0.7996509613255958,0,
4,2,NoChange,2,2,1,1,0.7996509613255958,0.8030544648131497,0,
5,2,NoChange,2,2,1,1,0.8030544648131497,0.806725418123883,0,
6,2,AddFloors,2,4,1,1,0.806725418123883,0.7684368046058639,2,
7,2,AddFloors,4,5,1,1,0.7684368046058639,0.7511362828737067,1,
8,2,NoChange,5,5,1,1,0.7511362828737067,0.745528586353112,0,
9,2,NoChange,5,5,1,1,0.745528586353112,0.7508948579049595,0,
10,2,AddFloors,5,6,1,1,0.7508948579049595,0.7389453159126715,1,
1,3,AddFloors,2,4,1,1,0.8,0.7687636762647267,2,
2,3,NoChange,4,4,1,1,0.7687636762647267,0.7666763142859401,0,
3,3,NoChange,4,4,1,1,0.7666763142859401,0.7658533513376881,0,
4,3,NoChange,4,4,1,1,0.7658533513376881,0.7607859014915678,0,
5,3,NoChange,4,4,1,1,0.7607859014915678,0.7560407336620265,0,
6,3,NoChange,4,4,1,1,0.7560407336620265,0.7639971913340761,0,
7,3,NoChange,4,4,1,1,0.7639971913340761,0.7583836065172217,0,
